timestamp,clean_title,subject,verb,object,eval,palettes,legend,active_passive
20120228,Brazil's lending falls in January; defaults up,Brazil's lending,falls,in January; defaults up,7,#e377c2,"hit, fall, sink, suffer",
20120228,S&P; says Greece default may be short,S&P;,says,Greece default may be short,7,#636363,say,
20120229,At least nine killed as tornadoes strike Midwest,At least nine,killed,as tornadoes strike Midwest,1,#393b79,"kill, injure, rise",
20120229,At least nine killed as tornadoes strike U.S. Midwest,At least nine,killed,as tornadoes strike U.S. Midwest,1,#393b79,"kill, injure, rise",p
20120229,At least nine killed as tornadoes strike U.S Midwest,At least nine,killed,as tornadoes strike U.S Midwest,1,#393b79,"kill, injure, rise",
20120229,Europe to investigate new Google privacy policy,Europe,to investigate,new Google privacy policy,2,#e7ba52,"face, settle, raid, investigate, ...",
20120229,Europe to investigate Google's new privacy policy,Europe,to investigate,Google's new privacy policy,2,#e7ba52,"face, settle, raid, investigate, ...",
20120301,Frenchman sues over Google Views urination photo,Frenchman,sues,over Google Views urination photo,2,#e7ba52,"face, settle, raid, investigate, ...",
20120301,At least 12 killed as tornadoes strike U.S. Midwest,At least 12,killed,as tornadoes strike U.S. Midwest,1,#393b79,"kill, injure, rise",
20120302,Five killed in Kentucky in tornado-related fatalities,Five,killed,in Kentucky in tornado-related fatalities,1,#393b79,"kill, injure, rise",
20120302,"Tornadoes kill 13 in Indiana, five in Kentucky, officials say",Tornadoes,kill,"13 in Indiana, five in Kentucky, officials say",1,#393b79,"kill, injure, rise",a
20120302,"Multiple tornadoes slam U.S. midsection, four dead in Indiana",Multiple tornadoes,slam,"U.S. midsection, four dead in Indiana",1,#e6550d,"hit, shake, strike",
20120303,"Tornadoes kill at least 37 in U.S. Midwest, South",Tornadoes,kill,"at least 37 in U.S. Midwest, South",1,#393b79,"kill, injure, rise",
20120303,Kentucky says death toll in state from tornadoes rises to 18,Kentucky,says,death toll in state from tornadoes rises to 18,1,#636363,say,
20120303,"Tornadoes kill at least 27 in U.S. Midwest, South",Tornadoes,kill,"at least 27 in U.S. Midwest, South",1,#393b79,"kill, injure, rise",
20120303,"Tornadoes slam U.S. Midwest, at least 27 dead",Tornadoes,slam,"U.S. Midwest, at least 27 dead",1,#e6550d,"hit, shake, strike",
20120305,Bank of China sees low local govt loan default risk-paper,Bank of China,sees,low local govt loan default risk-paper,7,#ad494a,"see, predict, warn",
20120305,"Tornado-ravaged areas hit by snowstorm, cold",Tornado-ravaged areas,hit,"by snowstorm, cold",1,#e6550d,"hit, shake, strike",
20120307,"Apple unveils more powerful, high-def iPad",Apple,unveils,"more powerful, high-def iPad",4,#d62728,"launch, unveil, introduce",
20120307,Germany's KFW says fears disorderly Greek default,Germany's KFW,says,fears disorderly Greek default,7,#636363,say,
20120308,Apple unveils 4G iPad,Apple,unveils,4G iPad,4,#d62728,"launch, unveil, introduce",
20120309,Ohio agency says fracking-related activity caused earthquakes,Ohio agency,says,fracking-related activity caused earthquakes,0,#636363,say,
20120309,Facebook co-founder buys New Republic magazine,Facebook co-founder,buys,New Republic magazine,3,#1f77b4,"buy, invest, acquire",
20120312,Yahoo sues Facebook for infringing 10 patents,Yahoo,sues,Facebook for infringing 10 patents,3,#e7ba52,"face, settle, raid, investigate, ...",
20120314,"Apple to sell 65.6 million iPads this year, sees record pre-orders",Apple,to sell,"65.6 million iPads this year, sees record pre-orders",4,#aec7e8,sell,
20120322,Facebook buys 750 patents from IBM,Facebook,buys,750 patents from IBM,3,#1f77b4,"buy, invest, acquire",
20120322,Facebook buys 750 patents from IBM-source,Facebook,buys,750 patents from IBM-source,3,#1f77b4,"buy, invest, acquire",
20120322,"Euro hit by recession worries, Aussie tumbles on China data",Euro,hit,"by recession worries, Aussie tumbles on China data",6,#e377c2,"hit, fall, sink, suffer",
20120322,Euro hit by recession worries; Aussie drops,Euro,hit,by recession worries; Aussie drops,6,#e377c2,"hit, fall, sink, suffer",
20120323,"Tornadoes cause one death, damage in half dozen states",Tornadoes,cause,"one death, damage in half dozen states",1,#8c6d31,"cause, dip, drag, fall, ...",
20120323,BoE's Weale says UK economy skirted recession,BoE's Weale,says,UK economy skirted recession,6,#636363,say,
20120327,"Magnitude 6.3 earthquake hits northeast Japan, no damage",Magnitude 6.3 earthquake,hits,"northeast Japan, no damage",0,#e6550d,"hit, shake, strike",
20120328,"Facebook halts secondary market trading, plans for May IPO","Facebook halts secondary market trading,",plans,for May IPO,3,#d62728,"launch, unveil, introduce",
20120330,Greece's PPC posts record loss as recession bites,Greece's PPC,posts,record loss as recession bites,6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120404,Texas town hit by tornado saw worse in 1994,Texas town,hit,by tornado saw worse in 1994,1,#e6550d,"hit, shake, strike",
20120404,Marine sues to block discipline over Obama Facebook critique,Marine,sues,to block discipline over Obama Facebook critique,3,#e7ba52,"face, settle, raid, investigate, ...",
20120404,Europe shares fall as data fuels recession fears,Europe shares,fall,as data fuels recession fears,6,#e377c2,"hit, fall, sink, suffer",
20120404,"ECB holds rates to balance inflation, recession fears",ECB,holds,"rates to balance inflation, recession fears",6,#d9d9d9,"keep, hold",
20120409,Facebook to buy Instagram for $1 billion,Facebook,to buy,Instagram for $1 billion,3,#1f77b4,"buy, invest, acquire",
20120409,Facebook to acquire Instagram for $ 1 billion,Facebook,to acquire,Instagram for $ 1 billion,3,#1f77b4,"buy, invest, acquire",
20120411,"Strong earthquake hits Mexico, shakes buildings","Strong earthquake hits Mexico,",shakes,buildings,0,#e6550d,"hit, shake, strike",
20120411,"U.S. sues Apple, publishers in e-book price scheme",U.S.,sues,"Apple, publishers in e-book price scheme",4,#e7ba52,"face, settle, raid, investigate, ...",
20120413,"Tornado hits Oklahoma, more expected this weekend",Tornado,hits,"Oklahoma, more expected this weekend",1,#e6550d,"hit, shake, strike",
20120413,"Tornado hits Oklahoma, start of expected weekend outbreak",Tornado,hits,"Oklahoma, start of expected weekend outbreak",1,#e6550d,"hit, shake, strike",
20120414,"Plains states hit by tornadoes, brace for more",Plains states,hit,"by tornadoes, brace for more",1,#e6550d,"hit, shake, strike",
20120414,Tornado reported in Oklahoma City as region braces for more,Tornado,reported,in Oklahoma City as region braces for more,1,#ff9896,report,
20120414,Facebook to acquire mobile software app Tagtile-report,Facebook,to acquire,mobile software app Tagtile-report,3,#1f77b4,"buy, invest, acquire",
20120415,"Google fined $25,000 for impeding FCC investigation",Google,fined,"$25,000 for impeding FCC investigation",2,#e7ba52,"face, settle, raid, investigate, ...",
20120415,"Google fined $25,000 for street data collection",Google,fined,"$25,000 for street data collection",2,#e7ba52,"face, settle, raid, investigate, ...",
20120415,"Google fined $25,000 for US street data collection",Google,fined,"$25,000 for US street data collection",2,#e7ba52,"face, settle, raid, investigate, ...",
20120415,Tornado hits Boeing fuselage supplier,Tornado,hits,Boeing fuselage supplier,1,#e6550d,"hit, shake, strike",
20120415,Tornado hits Boeing fuselage supplier-spokesman,Tornado,hits,Boeing fuselage supplier-spokesman,1,#e6550d,"hit, shake, strike",
20120416,Oracle says Google's own emails show its guilt,Oracle,says,Google's own emails show its guilt,2,#636363,say,
20120416,Boeing says production system was braced for tornado,Boeing,says,production system was braced for tornado,1,#636363,say,
20120416,Death toll from Oklahoma tornado rises to six,Death toll from Oklahoma tornado,rises to,six,1,#393b79,"kill, injure, rise",
20120416,Death toll rises to six from Oklahoma tornado,Death toll,rises to,six from Oklahoma tornado,1,#393b79,"kill, injure, rise",
20120417,Oracle's Ellison says couldn't sway Google on Java,Oracle's Ellison,says,couldn't sway Google on Java,2,#636363,say,
20120417,Google says Oracle should not get piece of Android,Google,says,Oracle should not get piece of Android,2,#636363,say,
20120417,"Magnitude 7.0 earthquake hits Papua New Guinea, no tsunami alert",Magnitude 7.0 earthquake,hits,"Papua New Guinea, no tsunami alert",0,#e6550d,"hit, shake, strike",
20120418,"Google CEO says Android important, not critical",Google CEO,says,"Android important, not critical",2,#636363,say,
20120418,"Google's Page says Android important, not critical",Google's Page,says,"Android important, not critical",2,#636363,say,
20120419,"EDP Q1 electricity sales fall on tax, recession",EDP Q1 electricity sales,fall,"on tax, recession",6,#e377c2,"hit, fall, sink, suffer",
20120420,Apple announces 500 new jobs in Ireland,Apple,announces,500 new jobs in Ireland,4,#636363,say,
20120423,Google to launch online storage service for consumers,Google,to launch,online storage service for consumers,2,#d62728,"launch, unveil, introduce",
20120423,Google to launch online storage service for consumers -source,Google,to launch,online storage service for consumers -source,2,#d62728,"launch, unveil, introduce",
20120423,Microsoft to sell some AOL patents to Facebook,Microsoft,to sell,some AOL patents to Facebook,3,#aec7e8,sell,
20120423,Bradesco sees Brazil loan defaults down by year-end,Bradesco,sees,Brazil loan defaults down by year-end,7,#ad494a,"see, predict, warn",
20120423,"Spain Q1 GDP falls 0.4 pct q/q, economy in recession",Spain Q1 GDP,falls,"0.4 pct q/q, economy in recession",6,#e377c2,"hit, fall, sink, suffer",
20120424,Google says money didn't scuttle Sun Micro talks,Google,says,money didn't scuttle Sun Micro talks,2,#636363,say,
20120424,More grief for Greece as recession seen deeper,More grief for Greece as recession,seen,deeper,6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120425,"British PM faces ""tsunami"" of recession, Murdoch",British PM,faces,"""tsunami"" of recession, Murdoch",6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120425,"British PM faces 'tsunami' of recession, Murdoch",British PM,faces,"'tsunami' of recession, Murdoch",6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120426,Santander Brasil sees loan defaults rising more,Santander Brasil,sees,loan defaults rising more,7,#ad494a,"see, predict, warn",
20120426,FTC hires outside counsel to run Google antitrust probe,FTC,hires,outside counsel to run Google antitrust probe,2,#fdd0a2,hire,
20120426,Trimble Navigation to buy Google's SketchUp,Trimble Navigation,to buy,Google's SketchUp,2,#1f77b4,"buy, invest, acquire",
20120426,Trimble Navigation to buy SketchUp from Google,Trimble Navigation,to buy,SketchUp from Google,2,#1f77b4,"buy, invest, acquire",
20120427,Spanish default insurance costs rise after downgrade,Spanish default insurance costs,rise,after downgrade,7,#f7fcb9,rise,
20120430,Shareholder sues Google to block stock split,Shareholder,sues,Google to block stock split,2,#e7ba52,"face, settle, raid, investigate, ...",
20120430,Europe stocks suffer as Spain in recession,Europe stocks,suffer,as Spain in recession,6,#e377c2,"hit, fall, sink, suffer",
20120430,European shares suffer as Spain in recession,European shares,suffer,as Spain in recession,6,#e377c2,"hit, fall, sink, suffer",
20120501,Strong earthquake felt in Mexico City,Strong earthquake,felt,in Mexico City,0,#7b4173,"felt, seen, rattle",
20120501,"Tornado hits small Oklahoma town, knocks out power",Tornado,hits,"small Oklahoma town, knocks out power",1,#e6550d,"hit, shake, strike",
20120503,Judge says Google's Android lost money in 2010,Judge,says,Google's Android lost money in 2010,2,#636363,say,
20120504,"BASF sees southern Europe in recession, CFO says",BASF,sees,"southern Europe in recession, CFO says",6,#ad494a,"see, predict, warn",
20120504,"Brisa profit falls 59 percent, recession hits traffic",Brisa profit,falls,"59 percent, recession hits traffic",6,#e377c2,"hit, fall, sink, suffer",
20120504,Almunia says won't rush Google antitrust decision,Almunia,says,won't rush Google antitrust decision,2,#636363,say,
20120507,LG Electronics to launch Google TV in U.S. in late May,LG Electronics,to launch,Google TV in U.S. in late May,2,#d62728,"launch, unveil, introduce",
20120509,Tesla to deliver Model S sedan early; stock jumps,Tesla,to deliver,Model S sedan early; stock jumps,5,#8ca252,deliver,
20120509,Tesla to deliver new sedan earlier than expected,Tesla,to deliver,new sedan earlier than expected,5,#8ca252,deliver,
20120512,Moderate earthquake hits Tajikistan,Moderate earthquake,hits,Tajikistan,0,#e6550d,"hit, shake, strike",
20120514,US crude falls towards $94 on EU recession fears,US crude,falls,towards $94 on EU recession fears,6,#e377c2,"hit, fall, sink, suffer",
20120515,"Facebook expands IPO size, aims for $15 bln-source",Facebook,expands,"IPO size, aims for $15 bln-source",3,#d62728,"launch, unveil, introduce",
20120515,Russia's Patriarch launches Facebook page,Russia's Patriarch,launches,Facebook page,3,#d62728,"launch, unveil, introduce",
20120515,"Romania slides into recession, GDP misses forecasts",Romania,slides,"into recession, GDP misses forecasts",6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120516,Samsung loses $10 billion market value on Apple order report,Samsung,loses,$10 billion market value on Apple order report,4,#c7e9c0,loses,
20120517,BoE's Fisher sees no more QE if UK recession mild,BoE's Fisher,sees,no more QE if UK recession mild,6,#ad494a,"see, predict, warn",
20120518,"Earthquake hits eastern Japan, no tsunami warning issued",Earthquake,hits,"eastern Japan, no tsunami warning issued",0,#e6550d,"hit, shake, strike",
20120519,Google says it has China's approval for Motorola deal,Google,says,it has China's approval for Motorola deal,2,#636363,say,
20120519,Google says it won China's approval for Motorola deal,Google,says,it won China's approval for Motorola deal,2,#636363,say,
20120521,Google says disagrees with EU antitrust opinion,Google,says,disagrees with EU antitrust opinion,2,#636363,say,
20120521,Ryanair warns of sharp profit fall as recession bites,Ryanair,warns,of sharp profit fall as recession bites,6,#ad494a,"see, predict, warn",
20120522,Earthquake hits cheese production in northern Italy,Earthquake,hits,cheese production in northern Italy,0,#e6550d,"hit, shake, strike",
20120524,British recession deepens as euro zone woes mount,British recession,deepens,as euro zone woes mount,6,#d9f0a3,"deepen, shrink, sink, worsen",
20120524,UK recession deepens as euro zone woes mount,UK recession,deepens,as euro zone woes mount,6,#d9f0a3,"deepen, shrink, sink, worsen",
20120525,"Big lenders see Portugal recession easing, MPs say",Big lenders,see,"Portugal recession easing, MPs say",6,#ad494a,"see, predict, warn",
20120529,At least six killed in Italian earthquake,At least six,killed,in Italian earthquake,0,#393b79,"kill, injure, rise",
20120529,Strong earthquake hits northern Italy after last week's shock,Strong earthquake,hits,northern Italy after last week's shock,0,#e6550d,"hit, shake, strike",
20120530,Greece's NBG posts Q1 loss as recession bites,Greece's NBG,posts,Q1 loss as recession bites,6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120531,Google unveils big changes to shopping business,Google,unveils,big changes to shopping business,2,#d62728,"launch, unveil, introduce",
20120531,"Greece's Alpha Bank posts Q1 loss, recession bites",Greece's Alpha Bank,posts,"Q1 loss, recession bites",6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120601,Eastern Japan hit with magnitude 5.2 earthquake,Eastern Japan,hit,with magnitude 5.2 earthquake,0,#e6550d,"hit, shake, strike",
20120601,Eastern Japan hit with M 5.2 earthquake,Eastern Japan,hit,with M 5.2 earthquake,0,#e6550d,"hit, shake, strike",
20120604,Apple faces delay in seeking U.S. ban of Samsung tablets,Apple,faces,delay in seeking U.S. ban of Samsung tablets,4,#e7ba52,"face, settle, raid, investigate, ...",
20120604,Google to buy social media startup Meebo,Google,to buy,social media startup Meebo,2,#1f77b4,"buy, invest, acquire",
20120605,Italy earthquake death toll rises to 25,Italy earthquake death toll,rises,to 25,0,#393b79,"kill, injure, rise",
20120613,"Moody's sees rising odds of default by Stockton, California",Moody's,sees,"rising odds of default by Stockton, California",7,#ad494a,"see, predict, warn",
20120613,"Moody's sees rising odds of default by Stockton, Calif.",Moody's,sees,"rising odds of default by Stockton, Calif.",7,#ad494a,"see, predict, warn",
20120614,Time Inc to sell magazine subscriptions on Apple Newsstand,Time Inc,to sell,magazine subscriptions on Apple Newsstand,4,#aec7e8,sell,
20120614,3M says graphics business not signaling recession,3M,says,graphics business not signaling recession,6,#636363,say,
20120618,Facebook to buy facial-recognition startup,Facebook,to buy,facial-recognition startup,3,#1f77b4,"buy, invest, acquire",
20120618,Yahoo hires former Google director to lead ad revenue,Yahoo,hires,former Google director to lead ad revenue,2,#fdd0a2,hire,
20120620,Apple fined in Australia for misleading iPad advertising,Apple,fined,in Australia for misleading iPad advertising,4,#e7ba52,"face, settle, raid, investigate, ...",
20120620,"Apple, Google to face off in key smartphone hearing","Apple, Google",to face,off in key smartphone hearing,2,#e7ba52,"face, settle, raid, investigate, ...",
20120622,"Google CEO says ""nothing seriously wrong""",Google CEO,says,"""nothing seriously wrong""",2,#636363,say,
20120622,"Google CEO says ""nothing seriously wrong"" -source",Google CEO,says,"""nothing seriously wrong"" -source",2,#636363,say,
20120622,Facebook expands ad business to Zynga's website,Facebook,expands,ad business to Zynga's website,3,#d62728,"launch, unveil, introduce",
20120624,"Tornadoes from Tropical Storm Debby hit Florida, one dead",Tornadoes from Tropical Storm Debby,hit,"Florida, one dead",1,#e6550d,"hit, shake, strike",
20120626,Brazil loan defaults hit record high as borrowing costs fall,Brazil loan defaults,hit,record high as borrowing costs fall,7,#e377c2,"hit, fall, sink, suffer",
20120626,Brazil loan defaults rise to record; lending rises,Brazil loan defaults,rise to,record; lending rises,7,#f7fcb9,rise,
20120627,Google unveils new version of Android,Google,unveils,new version of Android,2,#d62728,"launch, unveil, introduce",
20120627,"Morgan Stanley faces Facebook fallout, limits damage",Morgan Stanley,faces,"Facebook fallout, limits damage",3,#e7ba52,"face, settle, raid, investigate, ...",
20120629,U.S. investigating Google unit over patent licensing,U.S.,investigating,Google unit over patent licensing,2,#e7ba52,"face, settle, raid, investigate, ...",
20120703,Apple says disagrees with Italy antitrust complaint,Apple,says,disagrees with Italy antitrust complaint,4,#636363,say,
20120709,Moody's says defaults of private student loans to remain stable,Moody's,says,defaults of private student loans to remain stable,7,#636363,say,
20120710,Bank of Portugal sees less severe 2012 recession,Bank of Portugal,sees,less severe 2012 recession,6,#ad494a,"see, predict, warn",
20120712,"Irish economy shrinks in Q1, but skirted recession",Irish economy,shrinks,"in Q1, but skirted recession",6,#d9f0a3,"deepen, shrink, sink, worsen",
20120716,Yahoo hires Google's Mayer as CEO,Yahoo,hires,Google's Mayer as CEO,2,#fdd0a2,hire,
20120716,Yahoo hires Google's Mayer as CEO-source,Yahoo,hires,Google's Mayer as CEO-source,2,#fdd0a2,hire,
20120717,Google unit says will avoid U.S. import ban on smartphones,Google unit,says,will avoid U.S. import ban on smartphones,2,#636363,say,
20120717,Italy's Monti says serious worry Sicily region may default,Italy's Monti,says,serious worry Sicily region may default,7,#636363,say,
20120718,Washington state first to launch Facebook voter registration,Washington state first,to launch,Facebook voter registration,3,#d62728,"launch, unveil, introduce",
20120719,"Google says 250 mln users ""upgraded"" to Google+",Google,says,"250 mln users ""upgraded"" to Google+",2,#636363,say,
20120722,"Kodak loses patent case vs. Apple, RIM; plans appeal",Kodak,loses,"patent case vs. Apple, RIM; plans appeal",4,#c7e9c0,loses,
20120722,"Kodak loses patent case vs Apple, RIM; plans appeal",Kodak,loses,"patent case vs Apple, RIM; plans appeal",4,#c7e9c0,loses,
20120723,Italy minister says no risk of Sicily default,Italy minister,says,no risk of Sicily default,7,#636363,say,
20120724,Greek recession seen deeper than 7 percent this year,Greek recession,seen,deeper than 7 percent this year,6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120724,Greek recession seen deeper than 7 pct this year,Greek recession,seen,deeper than 7 pct this year,6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120725,Apple says Samsung patent royalty demands unfair,Apple,says,Samsung patent royalty demands unfair,4,#636363,say,
20120725,Britain sinks far deeper into recession than forecast,Britain,sinks,far deeper into recession than forecast,6,#d9f0a3,"deepen, shrink, sink, worsen",
20120725,"Apple says Samsung patent royalty demands ""unfair""-filing",Apple,says,"Samsung patent royalty demands ""unfair""-filing",4,#636363,say,
20120725,Britain sinks far deeper into recession than expected,Britain,sinks,far deeper into recession than expected,6,#d9f0a3,"deepen, shrink, sink, worsen",
20120726,Google unveils ultrafast Internet/TV in Kansas City,Google,unveils,ultrafast Internet/TV in Kansas City,2,#d62728,"launch, unveil, introduce",
20120726,Google unveils 100 times faster Internet service in Kansas City,Google,unveils,100 times faster Internet service in Kansas City,2,#d62728,"launch, unveil, introduce",
20120726,Google unveils broadband Internet service,Google,unveils,broadband Internet service,2,#d62728,"launch, unveil, introduce",
20120726,Brazil lending rises 1.5 pct in June; loan defaults down,Brazil lending,rises,1.5 pct in June; loan defaults down,7,#f7fcb9,rise,
20120727,Apple buys mobile security firm AuthenTec for $356 million,Apple,buys,mobile security firm AuthenTec for $356 million,4,#1f77b4,"buy, invest, acquire",
20120727,India coal buyers see defaults as prices slip -traders,India coal buyers,see,defaults as prices slip -traders,7,#ad494a,"see, predict, warn",
20120730,Taiwan university sues Apple over speech recognition patents,Taiwan university,sues,Apple over speech recognition patents,4,#e7ba52,"face, settle, raid, investigate, ...",
20120730,Spanish recession deepens in second quarter,Spanish recession,deepens,in second quarter,6,#d9f0a3,"deepen, shrink, sink, worsen",
20120730,JCDecaux growth hit by reliance on recession-hit Europe,JCDecaux growth,hit,by reliance on recession-hit Europe,6,#e377c2,"hit, fall, sink, suffer",
20120730,Spanish recession deepens in Q2,Spanish recession,deepens,in Q2,6,#d9f0a3,"deepen, shrink, sink, worsen",
20120731,Google acquires social ad start-up Wildfire,Google,acquires,social ad start-up Wildfire,2,#1f77b4,"buy, invest, acquire",
20120802,Google to invest 150 mln euros in Finland data centre,Google,to invest,150 mln euros in Finland data centre,2,#1f77b4,"buy, invest, acquire",
20120806,Minor earthquakes seen near Texas injection wells,Minor earthquakes,seen,near Texas injection wells,0,#7b4173,"felt, seen, rattle",
20120806,Minor earthquakes seen near Texas injection wells -study,Minor earthquakes,seen,near Texas injection wells -study,0,#7b4173,"felt, seen, rattle",
20120806,Apple says YouTube app won't be included in new mobile software,Apple,says,YouTube app won't be included in new mobile software,4,#636363,say,
20120806,Apple says license to include YouTube app in iOS has ended,Apple,says,license to include YouTube app in iOS has ended,4,#636363,say,
20120806,"Finland risks recession, says finance minister","Finland risks recession,",says,finance minister,6,#636363,say,
20120809,Spanish investor buys Facebook London HQ for $94 mln,Spanish investor,buys,Facebook London HQ for $94 mln,3,#1f77b4,"buy, invest, acquire",
20120810,German economy faces recession fear in threat to euro zone,German economy,faces,recession fear in threat to euro zone,6,#e7cb94,"face, seen, post, slip, slide, confirm",
20120813,Google to acquire Frommer's travel guidebooks,Google,to acquire,Frommer's travel guidebooks,2,#1f77b4,"buy, invest, acquire",
20120813,"Google to cut 4,000 Motorola Mobility jobs, shares rise",Google,to cut,"4,000 Motorola Mobility jobs, shares rise",2,#de9ed6,"cut, shut",
20120813,Google to acquire Frommer's travel publishing business,Google,to acquire,Frommer's travel publishing business,2,#1f77b4,"buy, invest, acquire",
20120813,India antitrust body investigating Google,India antitrust body,investigating,Google,2,#e7ba52,"face, settle, raid, investigate, ...",
20120813,India antitrust body investigating Google -minister,India antitrust body,investigating,Google -minister,2,#e7ba52,"face, settle, raid, investigate, ...",
20120813,"Google to cut 4000 Motorola Mobility jobs, take $275 mln charge",Google,to cut,"4000 Motorola Mobility jobs, take $275 mln charge",2,#de9ed6,"cut, shut",
20120822,"U.S. CBO predicts deeper ""fiscal cliff"" recession in FY 2013",U.S. CBO,predicts,"deeper ""fiscal cliff"" recession in FY 2013",6,#ad494a,"see, predict, warn",
20120830,"Earthquake strikes off Greenland's east coast, no injuries",Earthquake,strikes,"off Greenland's east coast, no injuries",0,#e6550d,"hit, shake, strike",
20120830,Strong earthquake strikes off east coast of Greenland,Strong earthquake,strikes,off east coast of Greenland,0,#e6550d,"hit, shake, strike",
20120831,"Musk says may form holding company for Tesla, SpaceX",Musk,says,"may form holding company for Tesla, SpaceX",5,#636363,say,
20120904,Facebook says no secondary offering to cover tax bill,Facebook,says,no secondary offering to cover tax bill,3,#636363,say,
20120908,"Tornadoes reported in New York, Virginia as storms loom",Tornadoes,reported,"in New York, Virginia as storms loom",1,#ff9896,report,
